,RTT,MISS,HIT
0,0.5992711210250854,0.83,0.15
1,0.4049960708618164,0.61,0.35
2,0.3147807741165161,0.47,0.53
3,0.35841740131378175,0.55,0.45
4,0.4775387454032898,0.59,0.41
5,0.36544836282730103,0.55,0.45
6,0.6571167421340942,0.54,0.46
7,0.3913762378692627,0.49,0.51
8,0.45677047967910767,0.56,0.44
9,0.38097487449645995,0.55,0.43
10,0.473091185092926,0.45,0.54
11,0.41406376123428346,0.52,0.48
12,0.2776819825172424,0.52,0.48
13,0.3696743869781494,0.57,0.42
14,1.5621835136413573,0.51,0.47
15,0.3632452178001404,0.41,0.56
16,0.35049941539764407,0.53,0.46
17,0.3694035482406616,0.55,0.43
18,0.3995439863204956,0.51,0.48
19,0.27602227687835695,0.5,0.49
20,0.3041819977760315,0.51,0.49
21,0.37374172925949095,0.53,0.47
22,0.3338841986656189,0.55,0.44
23,0.30258325338363645,0.52,0.48
24,0.3013567328453064,0.48,0.52
25,0.3020267796516418,0.45,0.55
26,0.37912209987640383,0.52,0.46
27,0.4097145676612854,0.5,0.47
28,0.2711944317817688,0.45,0.54
29,0.3222012495994568,0.5,0.48
30,0.2766278290748596,0.47,0.51
31,0.3153068542480469,0.52,0.44
32,0.537254626750946,0.57,0.42
33,0.4422181701660156,0.51,0.48
34,0.30171051025390627,0.53,0.46
35,0.4446758317947388,0.48,0.52
36,0.3467931532859802,0.46,0.5
37,0.45104575395584107,0.53,0.46
38,0.31942296504974366,0.51,0.49
39,0.4766212296485901,0.55,0.45
40,0.3963808155059814,0.5,0.49
41,0.3350429701805115,0.53,0.45
42,0.6180261731147766,0.56,0.44
43,0.314723060131073,0.48,0.52
44,0.3165022349357605,0.5,0.49
45,0.3462543249130249,0.49,0.51
46,0.41323137044906616,0.57,0.43
47,0.49909586906433107,0.51,0.49
48,0.2979225921630859,0.58,0.4
49,0.3412780237197876,0.48,0.5
